run_id,parameter,value,node_id,product_id,period,date,inventory,demand,coverage_ratio
service_level_0_98,service_level,0.98,S3,PROD1,3,2025-06-13,109.42354929031477,140.0,0.7815967806451055
service_level_0_98,service_level,0.98,S3,PROD1,4,2025-07-13,111.95590841368798,137.5,0.8142247884631854
service_level_0_98,service_level,0.98,S3,PROD1,5,2025-08-12,112.2185773360798,132.5,0.846932659140225
service_level_0_98,service_level,0.98,S3,PROD1,6,2025-09-11,114.3461035806788,130.0,0.8795854121590677
service_level_0_98,service_level,0.98,S3,PROD1,7,2025-10-11,116.31172157882932,127.5,0.9122487966967006
service_level_0_98,service_level,0.98,S3,PROD1,8,2025-11-10,125.16687472101208,132.5,0.9446556582717893
service_level_0_98,service_level,0.98,S3,PROD1,9,2025-12-10,134.34709009642557,137.5,0.9770697461558223
service_level_0_98,service_level,0.98,S3,PROD1,10,2026-01-09,143.8523606863943,142.5,1.0094902504308372
service_level_0_98,service_level,0.98,S3,PROD1,11,2026-02-08,156.27788997994335,150.0,1.041852599866289
service_level_0_98,service_level,0.98,S3,PROD2,0,2025-03-15,62.91416641597813,75.0,0.8388555522130418
service_level_0_98,service_level,0.98,S3,PROD2,1,2025-04-14,68.07639011718621,77.5,0.8784050337701446
service_level_0_98,service_level,0.98,S3,PROD2,2,2025-05-14,73.43652452015681,80.0,0.9179565565019601
service_level_0_98,service_level,0.98,S3,PROD2,3,2025-06-13,81.36063772355456,85.0,0.957183973218289
service_level_0_98,service_level,0.98,S3,PROD2,4,2025-07-13,87.21608579183327,87.5,0.9967552661923802
service_level_0_98,service_level,0.98,S3,PROD2,5,2025-08-12,95.83504727781612,92.5,1.0360545651655797
service_level_0_98,service_level,0.98,S3,PROD2,6,2025-09-11,102.1858720473088,95.0,1.0756407583927243
service_level_0_98,service_level,0.98,S3,PROD2,7,2025-10-11,108.73474138387911,97.5,1.1152281167577345
service_level_0_98,service_level,0.98,S3,PROD2,8,2025-11-10,111.18657987229382,96.25,1.1551852454264293
service_level_0_98,service_level,0.98,S3,PROD2,9,2025-12-10,110.57890070517243,92.5,1.1954475751910534
service_level_0_98,service_level,0.98,S3,PROD2,10,2026-01-09,108.14794638187325,87.5,1.2359765300785515
service_level_0_98,service_level,0.98,S3,PROD2,11,2026-02-08,105.32614051719882,82.5,1.2766804911175615
service_level_0_98,service_level,0.98,S4,PROD1,0,2025-03-15,85.53188955020933,125.0,0.6842551164016746
service_level_0_98,service_level,0.98,S4,PROD1,1,2025-04-14,93.17089921388643,130.0,0.7166992247222033
service_level_0_98,service_level,0.98,S4,PROD1,2,2025-05-14,101.13478142778605,135.0,0.7491465290947115
service_level_0_98,service_level,0.98,S4,PROD1,3,2025-06-13,109.42354929031477,140.0,0.7815967806451055
service_level_0_98,service_level,0.98,S4,PROD1,4,2025-07-13,111.95590841368798,137.5,0.8142247884631854
service_level_0_98,service_level,0.98,S4,PROD1,5,2025-08-12,112.2185773360798,132.5,0.846932659140225
service_level_0_98,service_level,0.98,S4,PROD1,6,2025-09-11,114.3461035806788,130.0,0.8795854121590677
service_level_0_98,service_level,0.98,S4,PROD1,7,2025-10-11,116.31172157882932,127.5,0.9122487966967006
service_level_0_98,service_level,0.98,S4,PROD1,8,2025-11-10,125.16687472101208,132.5,0.9446556582717893
service_level_0_98,service_level,0.98,S4,PROD1,9,2025-12-10,134.34709009642557,137.5,0.9770697461558223
service_level_0_98,service_level,0.98,S4,PROD1,10,2026-01-09,143.8523606863943,142.5,1.0094902504308372
service_level_0_98,service_level,0.98,S4,PROD1,11,2026-02-08,156.27788997994335,150.0,1.041852599866289
service_level_0_98,service_level,0.98,S4,PROD2,0,2025-03-15,62.91416641597813,75.0,0.8388555522130418
service_level_0_98,service_level,0.98,S4,PROD2,1,2025-04-14,68.07639011718621,77.5,0.8784050337701446
service_level_0_98,service_level,0.98,S4,PROD2,2,2025-05-14,73.43652452015681,80.0,0.9179565565019601
service_level_0_98,service_level,0.98,S4,PROD2,3,2025-06-13,81.36063772355456,85.0,0.957183973218289
service_level_0_98,service_level,0.98,S4,PROD2,4,2025-07-13,87.21608579183327,87.5,0.9967552661923802
service_level_0_98,service_level,0.98,S4,PROD2,5,2025-08-12,95.83504727781612,92.5,1.0360545651655797
service_level_0_98,service_level,0.98,S4,PROD2,6,2025-09-11,102.1858720473088,95.0,1.0756407583927243
service_level_0_98,service_level,0.98,S4,PROD2,7,2025-10-11,108.73474138387911,97.5,1.1152281167577345
service_level_0_98,service_level,0.98,S4,PROD2,8,2025-11-10,111.18657987229382,96.25,1.1551852454264293
service_level_0_98,service_level,0.98,S4,PROD2,9,2025-12-10,110.57890070517243,92.5,1.1954475751910534
service_level_0_98,service_level,0.98,S4,PROD2,10,2026-01-09,108.14794638187325,87.5,1.2359765300785515
service_level_0_98,service_level,0.98,S4,PROD2,11,2026-02-08,105.32614051719882,82.5,1.2766804911175615
service_level_0_98,service_level,0.98,DC1,PROD1,0,2025-03-15,178.55995551359376,250.0,0.7142398220543751
service_level_0_98,service_level,0.98,DC1,PROD1,1,2025-04-14,193.8295878579244,260.0,0.7454984148381707
service_level_0_98,service_level,0.98,DC1,PROD1,2,2025-05-14,209.72221254593933,270.0,0.7767489353553308
service_level_0_98,service_level,0.98,DC1,PROD1,3,2025-06-13,214.57236705949182,280.0,0.766329882355328
service_level_0_98,service_level,0.98,DC1,PROD1,4,2025-07-13,215.0684164006881,275.0,0.782066968729775
service_level_0_98,service_level,0.98,DC1,PROD1,5,2025-08-12,219.14176358486503,265.0,0.8269500512636416
service_level_0_98,service_level,0.98,DC1,PROD1,6,2025-09-11,222.90442565545686,260.0,0.8573247140594494
service_level_0_98,service_level,0.98,DC1,PROD1,7,2025-10-11,239.88400290845982,255.0,0.9407215800331757
service_level_0_98,service_level,0.98,DC1,PROD1,8,2025-11-10,257.4868404713901,265.0,0.9716484546090193
service_level_0_98,service_level,0.98,DC1,PROD1,9,2025-12-10,275.71292757305895,275.0,1.0025924639020325
service_level_0_98,service_level,0.98,DC1,PROD1,10,2026-01-09,299.5403136374,285.0,1.0510186443417544
service_level_0_98,service_level,0.98,DC1,PROD1,11,2026-02-08,299.54031363739995,300.0,0.9984677121246665
service_level_0_98,service_level,0.98,DC1,PROD2,0,2025-03-15,131.9098784015677,150.0,0.8793991893437847
service_level_0_98,service_level,0.98,DC1,PROD2,1,2025-04-14,142.308178632065,155.0,0.9181172814971935
service_level_0_98,service_level,0.98,DC1,PROD2,2,2025-05-14,157.68724559155524,160.0,0.9855452849472203
service_level_0_98,service_level,0.98,DC1,PROD2,3,2025-06-13,169.0468338349405,170.0,0.9943931402055323
service_level_0_98,service_level,0.98,DC1,PROD2,4,2025-07-13,185.7738702585702,175.0,1.0615649729061154
service_level_0_98,service_level,0.98,DC1,PROD2,5,2025-08-12,198.0948414142233,185.0,1.0707829265633693
service_level_0_98,service_level,0.98,DC1,PROD2,6,2025-09-11,210.80020219983123,190.0,1.1094747484201644
service_level_0_98,service_level,0.98,DC1,PROD2,7,2025-10-11,215.54853322944075,195.0,1.1053770934843115
service_level_0_98,service_level,0.98,DC1,PROD2,8,2025-11-10,216.74260077591583,192.5,1.125935588446316
service_level_0_98,service_level,0.98,DC1,PROD2,9,2025-12-10,219.090857410605,185.0,1.1842749049221892
service_level_0_98,service_level,0.98,DC1,PROD2,10,2026-01-09,215.11518937681595,175.0,1.2292296535818055
service_level_0_98,service_level,0.98,DC1,PROD2,11,2026-02-08,204.12095853383653,165.0,1.237096718386888
service_level_0_98,service_level,0.98,DC2,PROD1,0,2025-03-15,186.34179842777286,250.0,0.7453671937110914
service_level_0_98,service_level,0.98,DC2,PROD1,1,2025-04-14,202.2695628555721,260.0,0.7779598571368158
service_level_0_98,service_level,0.98,DC2,PROD1,2,2025-05-14,218.84709858062953,270.0,0.8105448095578872
service_level_0_98,service_level,0.98,DC2,PROD1,3,2025-06-13,223.911816827376,280.0,0.7996850600977714
service_level_0_98,service_level,0.98,DC2,PROD1,4,2025-07-13,224.43715467215958,275.0,0.8161351078987621
service_level_0_98,service_level,0.98,DC2,PROD1,5,2025-08-12,228.6922071613576,265.0,0.8629894609862551
service_level_0_98,service_level,0.98,DC2,PROD1,6,2025-09-11,232.62344315765867,260.0,0.8947055506063795
service_level_0_98,service_level,0.98,DC2,PROD1,7,2025-10-11,250.33374944202416,255.0,0.9817009782040163
service_level_0_98,service_level,0.98,DC2,PROD1,8,2025-11-10,268.69418019285115,265.0,1.0139403026145326
service_level_0_98,service_level,0.98,DC2,PROD1,9,2025-12-10,287.7047213727886,275.0,1.0461989868101402
service_level_0_98,service_level,0.98,DC2,PROD1,10,2026-01-09,312.5557799598867,285.0,1.0966869472276726
service_level_0_98,service_level,0.98,DC2,PROD1,11,2026-02-08,312.5557799598867,300.0,1.041852599866289
service_level_0_98,service_level,0.98,DC2,PROD2,0,2025-03-15,136.15278023437241,150.0,0.9076852015624828
service_level_0_98,service_level,0.98,DC2,PROD2,1,2025-04-14,146.87304904031362,155.0,0.947568058324604
service_level_0_98,service_level,0.98,DC2,PROD2,2,2025-05-14,162.72127544710912,160.0,1.017007971544432
service_level_0_98,service_level,0.98,DC2,PROD2,3,2025-06-13,174.43217158366656,170.0,1.0260715975509798
service_level_0_98,service_level,0.98,DC2,PROD2,4,2025-07-13,191.67009455563226,175.0,1.0952576831750416
service_level_0_98,service_level,0.98,DC2,PROD2,5,2025-08-12,204.37174409461758,185.0,1.1047121302411762
