branch_id,cost_score,service_level_score,robustness_score,overall_score,is_selected
branch_2,0.023359734486898116,0.9952987449708761,0.9877913516918966,0.605021662121489,False
branch_1,0.0251322512344688,0.9935164835164836,0.9104128025618904,0.5895420544127591,False
branch_3,0.022658412917285424,0.9935164835164836,0.9650399544261279,0.5994779494587332,False
branch_0,0.023830462272919784,0.9935164835164836,0.9377263784940091,0.5944840540145632,False
branch_4,0.022373563804267894,0.9952987449708761,0.997735773777186,0.6066160782654948,True
branch_0,0.023830462272919784,0.9935164835164836,0.9377263784940091,0.6914526561389196,False
branch_7,0.023830462272919784,0.9935164835164836,0.9377263784940091,0.6914526561389196,False
branch_6,0.02422617815132597,0.9952987449708761,0.9770434290180703,0.7003259117344499,False
branch_3,0.022658412917285424,0.9935164835164836,0.9650399544261279,0.696563756518653,False
branch_4,0.022373563804267894,0.9952987449708761,0.997735773777186,0.7039085963821556,True
branch_1,0.0251322512344688,0.9935164835164836,0.9104128025618904,0.6863804776409606,False
branch_5,0.02658692458960539,0.9935164835164836,0.8612070614637268,0.6769757314278688,False
branch_2,0.023359734486898116,0.9952987449708761,0.9877913516918966,0.7022155631698869,False
